SVID,Type,Name,Unit,Pointer,Comment,Line,SourceRef
1080,ASCII_TYPE,Heat Gun 2 Temperature,,&RunInfo.ShowTempComp[tcHeatGun2],Heat Gun 2 Temperature,133,SECSGEM/uHGemHT9045_SV.cpp#L133
1081,ASCII_TYPE,DUT 3 Temperature,,&RunInfo.ShowTempComp[tcDUT3],DUT 3 Temperature,134,SECSGEM/uHGemHT9045_SV.cpp#L134
1082,ASCII_TYPE,DUT 4 Temperature,,&RunInfo.ShowTempComp[tcDUT4],DUT 4 Temperature,135,SECSGEM/uHGemHT9045_SV.cpp#L135
1083,ASCII_TYPE,Socket Temperature,,&RunInfo.ShowTempComp[tcSocket],Socket Temperature,136,SECSGEM/uHGemHT9045_SV.cpp#L136
1084,ASCII_TYPE,Ae 1 Temperature,,&RunInfo.ShowTempComp[tcAe1],Ae 1 Temperature,137,SECSGEM/uHGemHT9045_SV.cpp#L137
1085,ASCII_TYPE,Af 1 Temperature,,&RunInfo.ShowTempComp[tcAf1],Af 1 Temperature,138,SECSGEM/uHGemHT9045_SV.cpp#L138
1086,ASCII_TYPE,Ag 1 Temperature,,&RunInfo.ShowTempComp[tcAg1],Ag 1 Temperature,139,SECSGEM/uHGemHT9045_SV.cpp#L139
1087,ASCII_TYPE,Ah 1 Temperature,,&RunInfo.ShowTempComp[tcAh1],Ah 1 Temperature,140,SECSGEM/uHGemHT9045_SV.cpp#L140
1088,ASCII_TYPE,Be 1 Temperature,,&RunInfo.ShowTempComp[tcBe1],Be 1 Temperature,141,SECSGEM/uHGemHT9045_SV.cpp#L141
1089,ASCII_TYPE,Bf 1 Temperature,,&RunInfo.ShowTempComp[tcBf1],Bf 1 Temperature,142,SECSGEM/uHGemHT9045_SV.cpp#L142
1090,ASCII_TYPE,Bg 1 Temperature,,&RunInfo.ShowTempComp[tcBg1],Bg 1 Temperature,143,SECSGEM/uHGemHT9045_SV.cpp#L143
1091,ASCII_TYPE,Bh 1 Temperature,,&RunInfo.ShowTempComp[tcBh1],Bh 1 Temperature,144,SECSGEM/uHGemHT9045_SV.cpp#L144
1092,ASCII_TYPE,Ae 2 Temperature,,&RunInfo.ShowTempComp[tcAe2],Ae 2 Temperature,145,SECSGEM/uHGemHT9045_SV.cpp#L145
1093,ASCII_TYPE,Af 2 Temperature,,&RunInfo.ShowTempComp[tcAf2],Af 2 Temperature,146,SECSGEM/uHGemHT9045_SV.cpp#L146
1094,ASCII_TYPE,Ag 2 Temperature,,&RunInfo.ShowTempComp[tcAg2],Ag 2 Temperature,147,SECSGEM/uHGemHT9045_SV.cpp#L147
1095,ASCII_TYPE,Ah 2 Temperature,,&RunInfo.ShowTempComp[tcAh2],Ah 2 Temperature,148,SECSGEM/uHGemHT9045_SV.cpp#L148
1096,ASCII_TYPE,Be 2 Temperature,,&RunInfo.ShowTempComp[tcBe2],Be 2 Temperature,149,SECSGEM/uHGemHT9045_SV.cpp#L149
1097,ASCII_TYPE,Bf 2 Temperature,,&RunInfo.ShowTempComp[tcBf2],Bf 2 Temperature,150,SECSGEM/uHGemHT9045_SV.cpp#L150
1098,ASCII_TYPE,Bg 2 Temperature,,&RunInfo.ShowTempComp[tcBg2],Bg 2 Temperature,151,SECSGEM/uHGemHT9045_SV.cpp#L151
1099,ASCII_TYPE,Bh 2 Temperature,,&RunInfo.ShowTempComp[tcBh2],Bh 2 Temperature,152,SECSGEM/uHGemHT9045_SV.cpp#L152
1101,INT_4_TYPE,Loader Count,,&LastSet.SendCT[0],Loading Count,153,SECSGEM/uHGemHT9045_SV.cpp#L153
1102,INT_4_TYPE,Output Total Count,,&RunInfo.iUnloadCount,Unloading Count,154,SECSGEM/uHGemHT9045_SV.cpp#L154
1103,INT_4_TYPE,Auto1 Count,,&LastSet.BinCT[0][e3Auto1],Auto1 Count,155,SECSGEM/uHGemHT9045_SV.cpp#L155
1104,INT_4_TYPE,Auto2 Count,,&LastSet.BinCT[0][e3Auto2],Auto2 Count,156,SECSGEM/uHGemHT9045_SV.cpp#L156
1105,INT_4_TYPE,Auto3 Count,,&LastSet.BinCT[0][e3Auto3],Auto3 Count,157,SECSGEM/uHGemHT9045_SV.cpp#L157
1106,INT_4_TYPE,Fix1 Count,,&LastSet.BinCT[0][e3Fix1 ],Fix1 Count,158,SECSGEM/uHGemHT9045_SV.cpp#L158
1107,INT_4_TYPE,Fix2 Count,,&LastSet.BinCT[0][e3Fix2 ],Fix2 Count,159,SECSGEM/uHGemHT9045_SV.cpp#L159
1108,INT_4_TYPE,Fix3 Count,,&LastSet.BinCT[0][e3Fix3 ],Fix3 Count,160,SECSGEM/uHGemHT9045_SV.cpp#L160
1109,INT_4_TYPE,Fix4 Count,,&LastSet.BinCT[0][e3Fix4 ],Fix4 Count,161,SECSGEM/uHGemHT9045_SV.cpp#L161
1110,INT_4_TYPE,Fix5 Count,,&LastSet.BinCT[0][e3Fix5 ],Fix5 Count,162,SECSGEM/uHGemHT9045_SV.cpp#L162
1111,INT_4_TYPE,Fix6 Count,,&LastSet.BinCT[0][e3Fix6 ],Fix6 Count,163,SECSGEM/uHGemHT9045_SV.cpp#L163
1112,INT_4_TYPE,Loader Count ART,,&LastSet.SendCT_ART[0],ART Loading Count,164,SECSGEM/uHGemHT9045_SV.cpp#L164
1113,INT_4_TYPE,Output Total Count ART,,&RunInfo.iUnloadCount_ART,ART Unloading Count,165,SECSGEM/uHGemHT9045_SV.cpp#L165
1114,INT_4_TYPE,Auto1 Count ART,,&LastSet.BinCT_ART[0][e3Auto1],ART Auto1 Count,166,SECSGEM/uHGemHT9045_SV.cpp#L166
1115,INT_4_TYPE,Auto2 Count ART,,&LastSet.BinCT_ART[0][e3Auto2],ART Auto2 Count,167,SECSGEM/uHGemHT9045_SV.cpp#L167
1116,INT_4_TYPE,Auto3 Count ART,,&LastSet.BinCT_ART[0][e3Auto3],ART Auto3 Count,168,SECSGEM/uHGemHT9045_SV.cpp#L168
1117,INT_4_TYPE,Fix1 Count ART,,&LastSet.BinCT_ART[0][e3Fix1 ],ART Fix1 Count,169,SECSGEM/uHGemHT9045_SV.cpp#L169
1118,INT_4_TYPE,Fix2 Count ART,,&LastSet.BinCT_ART[0][e3Fix2 ],ART Fix2 Count,170,SECSGEM/uHGemHT9045_SV.cpp#L170
1119,INT_4_TYPE,Fix3 Count ART,,&LastSet.BinCT_ART[0][e3Fix3 ],ART Fix3 Count,171,SECSGEM/uHGemHT9045_SV.cpp#L171
1120,INT_4_TYPE,Fix4 Count ART,,&LastSet.BinCT_ART[0][e3Fix4 ],ART Fix4 Count,172,SECSGEM/uHGemHT9045_SV.cpp#L172
1121,INT_4_TYPE,Fix5 Count ART,,&LastSet.BinCT_ART[0][e3Fix5 ],ART Fix5 Count,173,SECSGEM/uHGemHT9045_SV.cpp#L173
1122,INT_4_TYPE,Fix6 Count ART,,&LastSet.BinCT_ART[0][e3Fix6 ],ART Fix6 Count,174,SECSGEM/uHGemHT9045_SV.cpp#L174
1123,INT_4_TYPE,Bin 0 Count ART,,&LastSet.iBinData32_ART[0][0],ART Bin 0 Count,175,SECSGEM/uHGemHT9045_SV.cpp#L175
1124,INT_4_TYPE,Bin 1 Count ART,,&LastSet.iBinData32_ART[0][1],ART Bin 1 Count,176,SECSGEM/uHGemHT9045_SV.cpp#L176
1125,INT_4_TYPE,Bin 2 Count ART,,&LastSet.iBinData32_ART[0][2],ART Bin 2 Count,177,SECSGEM/uHGemHT9045_SV.cpp#L177
1126,INT_4_TYPE,Bin 3 Count ART,,&LastSet.iBinData32_ART[0][3],ART Bin 3 Count,178,SECSGEM/uHGemHT9045_SV.cpp#L178
