ECID,Type,Name,Unit,Pointer,Max,Min,Default,Comment,Line,SourceRef
11250,ASCII_TYPE,Alarm MRT_FT Bin 0-255 Special Bin Count By Socket,,fBinSel->sSpecialBinCountBySocket[eBinFT_MRT],,,,Alarm MRT_FT Bin 0-255 Yield Special Bin Count By Socket; CSV Format for Bin 0 to 255,1070,SECSGEM/uHGemHT9045_EC.cpp#L1070
11280,BOOLEAN_TYPE,LowYield MRT_FT,,fBinSel->sLowYield[eBinFT_MRT],,,,LowYield MRT_FT; CSV Format for Bin 0 to 255,1071,SECSGEM/uHGemHT9045_EC.cpp#L1071
11281,BOOLEAN_TYPE,ArmYield MRT_FT,,fBinSel->sArmYield[eBinFT_MRT],,,,ArmYield MRT_FT; CSV Format for Bin 0 to 255,1072,SECSGEM/uHGemHT9045_EC.cpp#L1072
11282,BOOLEAN_TYPE,SiteYield MRT_FT,,fBinSel->sSiteYield[eBinFT_MRT],,,,SiteYield MRT_FT; CSV Format for Bin 0 to 255,1073,SECSGEM/uHGemHT9045_EC.cpp#L1073
11283,ASCII_TYPE,By Bin per site cleaning MRT_FT,,fBinSel->sBySiteClean[eBinFT_MRT],10000,0,0,By Bin per site cleaning MRT_FT; CSV Format for Bin 0 to 255,1074,SECSGEM/uHGemHT9045_EC.cpp#L1074
11284,ASCII_TYPE,By Bin count cleaning MRT_FT,,fBinSel->sByBinClean[eBinFT_MRT],10000,0,0,By Bin count cleaning MRT_FT; CSV Format for Bin 0 to 255,1075,SECSGEM/uHGemHT9045_EC.cpp#L1075
11341,ASCII_TYPE,Alarm MRT_RT Bin 0-255 Yield Over Limit Enable,,fBinSel->sBinEnableFail[eBinRT_MRT],,,,Alarm MRT_RT Bin 0-255 Yield Over Limit Enable; CSV Format for Bin 0 to 255,1077,SECSGEM/uHGemHT9045_EC.cpp#L1077
11342,ASCII_TYPE,Alarm MRT_RT Bin 0-255 Yield Over Limit,Percentage,fBinSel->sBinFailPercent[eBinRT_MRT],,,,Alarm MRT_RT Bin 0-255 Yield Over Limit (%); CSV Format for Bin 0 to 255,1078,SECSGEM/uHGemHT9045_EC.cpp#L1078
11343,ASCII_TYPE,Alarm MRT_RT Bin 0-255 Yield Over Limit Ignore,Percentage,fBinSel->sBinFailIgnore[eBinRT_MRT],,,,Alarm MRT_RT Bin 0-255 Yield Over Limit Ignore; CSV Format for Bin 0 to 255,1079,SECSGEM/uHGemHT9045_EC.cpp#L1079
11344,ASCII_TYPE,Alarm MRT_RT Bin 0-255 Count Over Limit Enable,,fBinSel->sBinCountEnable[eBinRT_MRT],,,,Alarm MRT_RT Bin 0-255 Yield Count Limit Enable; CSV Format for Bin 0 to 255,1080,SECSGEM/uHGemHT9045_EC.cpp#L1080
11345,ASCII_TYPE,Alarm MRT_RT Bin 0-255 Count Over Limit,,fBinSel->sBinCountNumber[eBinRT_MRT],,,,Alarm MRT_RT Bin 0-255 Yield Count Limit; CSV Format for Bin 0 to 255,1081,SECSGEM/uHGemHT9045_EC.cpp#L1081
11346,ASCII_TYPE,Alarm MRT_RT Bin 0-255 Count Over Limit Ignore,,fBinSel->sBinCountIgnore[eBinRT_MRT],,,,Alarm MRT_RT Bin 0-255 Yield Count Limit Ignore; CSV Format for Bin 0 to 255,1082,SECSGEM/uHGemHT9045_EC.cpp#L1082
11347,ASCII_TYPE,Alarm MRT_RT Bin 0-255 Special Bin By Arm,,fBinSel->sSpecialBinByArm[eBinRT_MRT],,,,Alarm MRT_RT Bin 0-255 Yield Special Bin By Arm; CSV Format for Bin 0 to 255,1083,SECSGEM/uHGemHT9045_EC.cpp#L1083
11348,ASCII_TYPE,Alarm MRT_RT Bin 0-255 Special Bin Count By Arm,,fBinSel->sSpecialBinCountByArm[eBinRT_MRT],,,,Alarm MRT_RT Bin 0-255 Yield Special Bin Count By Arm; CSV Format for Bin 0 to 255,1084,SECSGEM/uHGemHT9045_EC.cpp#L1084
11349,ASCII_TYPE,Alarm MRT_RT Bin 0-255 Special Bin By Socket,,fBinSel->sSpecialBinBySocket[eBinRT_MRT],,,,Alarm MRT_RT Bin 0-255 Yield Special Bin By Socket; CSV Format for Bin 0 to 255,1085,SECSGEM/uHGemHT9045_EC.cpp#L1085
11350,ASCII_TYPE,Alarm MRT_RT Bin 0-255 Special Bin Count By Socket,,fBinSel->sSpecialBinCountBySocket[eBinRT_MRT],,,,Alarm MRT_RT Bin 0-255 Yield Special Bin Count By Socket; CSV Format for Bin 0 to 255,1086,SECSGEM/uHGemHT9045_EC.cpp#L1086
11380,BOOLEAN_TYPE,LowYield MRT_RT,,fBinSel->sLowYield[eBinRT_MRT],,,,LowYield MRT_RT; CSV Format for Bin 0 to 255,1087,SECSGEM/uHGemHT9045_EC.cpp#L1087
11381,BOOLEAN_TYPE,ArmYield MRT_RT,,fBinSel->sArmYield[eBinRT_MRT],,,,ArmYield MRT_RT; CSV Format for Bin 0 to 255,1088,SECSGEM/uHGemHT9045_EC.cpp#L1088
11382,BOOLEAN_TYPE,SiteYield MRT_RT,,fBinSel->sSiteYield[eBinRT_MRT],,,,SiteYield MRT_RT; CSV Format for Bin 0 to 255,1089,SECSGEM/uHGemHT9045_EC.cpp#L1089
11383,ASCII_TYPE,By Bin per site cleaning MRT_RT,,fBinSel->sBySiteClean[eBinRT_MRT],10000,0,0,By Bin per site cleaning MRT_RT; CSV Format for Bin 0 to 255,1090,SECSGEM/uHGemHT9045_EC.cpp#L1090
11384,ASCII_TYPE,By Bin count cleaning MRT_RT,,fBinSel->sByBinClean[eBinRT_MRT],10000,0,0,By Bin count cleaning MRT_RT; CSV Format for Bin 0 to 255,1091,SECSGEM/uHGemHT9045_EC.cpp#L1091
16000,INT_4_TYPE,Consecutive Failure Alarm by Socket,,&TestIF_File.bContsFailBySocket,1,0,0,0: ON; 1: OFF; ,1094,SECSGEM/uHGemHT9045_EC.cpp#L1094
16001,INT_4_TYPE,Consecutive Failure Alarm Count by Socket,,&TestIF_File.iContsFailSocketAlarmCT,100,1,100,Consecutive Failure Alarm Count by Socket,1095,SECSGEM/uHGemHT9045_EC.cpp#L1095
16002,INT_4_TYPE,Consecutive Failure Alarm by Head,,&TestIF_File.bContsFailByHead,1,0,0,0: ON; 1: OFF; ,1096,SECSGEM/uHGemHT9045_EC.cpp#L1096
16003,INT_4_TYPE,Consecutive Failure Alarm Count by Head,,&TestIF_File.iContsFailHeadAlarmCT,100,1,100,Consecutive Failure Alarm Count by Head,1097,SECSGEM/uHGemHT9045_EC.cpp#L1097
16007,BOOLEAN_TYPE,Low Yield Alarm,,&TestIF_File.bFailAlarmLowYield,1,0,0,Low Yield Alarm,1098,SECSGEM/uHGemHT9045_EC.cpp#L1098
16008,INT_4_TYPE,Low Yield Alarm Percentage,Percentage,&TestIF_File.iLowYieldLimit,100,0,0,Low Yield Alarm Percentage,1099,SECSGEM/uHGemHT9045_EC.cpp#L1099
16009,INT_4_TYPE,Low Yield Alarm Ignore Count,,&TestIF_File.iLowYieldCount,100000,1,100,Low Yield Alarm Ignore Count,1100,SECSGEM/uHGemHT9045_EC.cpp#L1100
16010,BOOLEAN_TYPE,Site Different Alarm,,&TestIF_File.bFailAlarmSiteYieldDifferent,1,0,0,Site Different Alarm,1101,SECSGEM/uHGemHT9045_EC.cpp#L1101
16011,INT_4_TYPE,Site Different Alarm Percentage,Percentage,&TestIF_File.iFailAlarmSiteYield,100,0,0,Site Different Alarm Percentage,1102,SECSGEM/uHGemHT9045_EC.cpp#L1102
16012,INT_4_TYPE,Site Different Alarm Ignore Count,,&TestIF_File.iFailAlarmSiteYieldDifferentCount,100000,1,100,Site Different Alarm Ignore Count,1103,SECSGEM/uHGemHT9045_EC.cpp#L1103
16013,INT_4_TYPE,Piggy Back Function Action,,&TestIF_File.iCountAlarmAction,1,0,0,0: Alarm; 1: Index Check; ,1104,SECSGEM/uHGemHT9045_EC.cpp#L1104
16014,BOOLEAN_TYPE,Piggy Back Continual Pass Bin Enable (Total),,&TestIF_File.bContinuousPass,1,0,0,Piggy Back Continual Pass Bin Enable (Total),1105,SECSGEM/uHGemHT9045_EC.cpp#L1105
16015,INT_4_TYPE,Piggy Back Continual Pass Bin Setting (Total),,&TestIF_File.iContinuousPassBin,255,0,1,Piggy Back Continual Pass Bin Setting (Total),1106,SECSGEM/uHGemHT9045_EC.cpp#L1106
16016,INT_4_TYPE,Piggy Back Continual Pass Bin Count (Total),,&TestIF_File.iContinuousPassBinCount,100000,1,100,Piggy Back Continual Pass Bin Count (Total),1107,SECSGEM/uHGemHT9045_EC.cpp#L1107
16017,BOOLEAN_TYPE,Piggy Back Continual Pass Bin Enable (Socket),,&TestIF_File.bContinuousPassBySocket,1,0,0,Piggy Back Continual Pass Bin Enable (Socket),1108,SECSGEM/uHGemHT9045_EC.cpp#L1108
16018,INT_4_TYPE,Piggy Back Continual Pass Bin Count (Socket),,&TestIF_File.iContinuousPassBinCountBySocket,100000,1,100,Piggy Back Continual Pass Bin Count (Socket),1109,SECSGEM/uHGemHT9045_EC.cpp#L1109
16019,BOOLEAN_TYPE,Piggy Back Continual Loader Enable,,&TestIF_File.bContinuousLoader,1,0,0,Piggy Back Continual Loader Enable,1110,SECSGEM/uHGemHT9045_EC.cpp#L1110
16020,INT_4_TYPE,Piggy Back Continual Loader Count,,&TestIF_File.iContinuousLoaderCount,100000,1,100,Piggy Back Continual Loader Count,1111,SECSGEM/uHGemHT9045_EC.cpp#L1111
16021,BOOLEAN_TYPE,Piggy Back Continual Contact Enable,,&TestIF_File.bContinuousContact,1,0,0,Piggy Back Continual Contact Enable,1112,SECSGEM/uHGemHT9045_EC.cpp#L1112
16022,INT_4_TYPE,Piggy Back Continual Contact Count,,&TestIF_File.iContinuousContactCount,100000,1,100,Piggy Back Continual Contact Count,1113,SECSGEM/uHGemHT9045_EC.cpp#L1113
16023,BOOLEAN_TYPE,By Site Compare Yield Enable,,&TestIF_File.bFailAlarmSiteYieldCmp,1,0,0,By Site Compare Yield Enable,1115,SECSGEM/uHGemHT9045_EC.cpp#L1115
16024,INT_4_TYPE,By Site Compare Yield Percentage,,&TestIF_File.iFailAlarmSiteYieldCmp,100,1,100,By Site Compare Yield Percentage,1116,SECSGEM/uHGemHT9045_EC.cpp#L1116
16025,INT_4_TYPE,By Site Compare Yield Ignore Count,,&TestIF_File.iFailAlarmSiteYieldCmpCount,100000,1,100,By Site Compare Yield Ignore Count,1117,SECSGEM/uHGemHT9045_EC.cpp#L1117
16026,BOOLEAN_TYPE,Low Yields%(By Total) Enable,,&TestIF_File.bFailAlarmLowYieldByTotal,1,0,0,Low Yields%(By Total) Enable,1118,SECSGEM/uHGemHT9045_EC.cpp#L1118
16027,INT_4_TYPE,Low Yields%(By Total) Percentage,,&TestIF_File.iLowYieldLimitByTotal,100,1,100,Low Yields%(By Total) Percentage,1119,SECSGEM/uHGemHT9045_EC.cpp#L1119
16028,INT_4_TYPE,Low Yields%(By Total) Ignore Count,,&TestIF_File.iLowYieldCountByTotal,100000,1,100,Low Yields%(By Total) Ignore Count,1120,SECSGEM/uHGemHT9045_EC.cpp#L1120
16029,BOOLEAN_TYPE,All Site Fail Enable,,&TestIF_File.bAllSiteFail,1,0,0,All Site Fail Enable,1121,SECSGEM/uHGemHT9045_EC.cpp#L1121
16030,INT_4_TYPE,All Site Fail Count,,&TestIF_File.iAllSiteFailCount,500,0,0,All Site Fail Count,1122,SECSGEM/uHGemHT9045_EC.cpp#L1122
