"File","Line","Status","Old","New"
"cContactCT.cpp","247","OK","(ARow-1)/TestSocket.iShtCol","ChangeToFloatNonPcnt((double)((ARow-1)), (double)(TestSocket.iShtCol))"
"cContactCT.cpp","242","OK","(ARow-1)/TestSocket.iShtCol","ChangeToFloatNonPcnt((double)((ARow-1)), (double)(TestSocket.iShtCol))"
"cContactCT.cpp","202","OK","(ARow-1)/TestSocket.iShtCol","ChangeToFloatNonPcnt((double)((ARow-1)), (double)(TestSocket.iShtCol))"
"cinitial.cpp","14120","OK","GetSHCHKPos(iLineNo, SThreadPara.base_InposY[iShuttleNo])/MOT[MInShuttle1].Motor->GearRatio","ChangeToFloatNonPcnt((double)(GetSHCHKPos(iLineNo, SThreadPara.base_InposY[iShuttleNo])), (double)(MOT[MInShuttle1].Motor->GearRatio))"
"cinitial.cpp","14119","OK","GetSHCHKPos(iLineNo, SThreadPara.base_InposY[iShuttleNo])/MOT[MInShuttle1].Motor->GearRatio","ChangeToFloatNonPcnt((double)(GetSHCHKPos(iLineNo, SThreadPara.base_InposY[iShuttleNo])), (double)(MOT[MInShuttle1].Motor->GearRatio))"
"cinitial.cpp","14117","OK","GetSHCHKPos(iLineNo, SThreadPara.base_posY[iShuttleNo])/MOT[MInShuttle1].Motor->GearRatio","ChangeToFloatNonPcnt((double)(GetSHCHKPos(iLineNo, SThreadPara.base_posY[iShuttleNo])), (double)(MOT[MInShuttle1].Motor->GearRatio))"
"cinitial.cpp","14116","OK","GetSHCHKPos(iLineNo, SThreadPara.base_posY[iShuttleNo])/MOT[MInShuttle1].Motor->GearRatio","ChangeToFloatNonPcnt((double)(GetSHCHKPos(iLineNo, SThreadPara.base_posY[iShuttleNo])), (double)(MOT[MInShuttle1].Motor->GearRatio))"
"cinitial.cpp","14114","OK","GetSHCHKPos(iLineNo, SThreadPara.base_pos[iShuttleNo])/MOT[MInShuttle1].Motor->GearRatio","ChangeToFloatNonPcnt((double)(GetSHCHKPos(iLineNo, SThreadPara.base_pos[iShuttleNo])), (double)(MOT[MInShuttle1].Motor->GearRatio))"
"cinitial.cpp","14113","OK","GetSHCHKPos(iLineNo, SThreadPara.base_pos[iShuttleNo])/MOT[MInShuttle1].Motor->GearRatio","ChangeToFloatNonPcnt((double)(GetSHCHKPos(iLineNo, SThreadPara.base_pos[iShuttleNo])), (double)(MOT[MInShuttle1].Motor->GearRatio))"
"cinitial.cpp","14093","OK","SThreadPara.iLaserBasePos[1]/MOT[MInShuttle2].Motor->GearRatio","ChangeToFloatNonPcnt((double)(SThreadPara.iLaserBasePos[1]), (double)(MOT[MInShuttle2].Motor->GearRatio))"
