"File","FullPath","Line","OldExpr","NewExpr","Numerator","Denominator","OrigLine"
"aoutarm9045.cpp","D:\HT9045\HT9011UC_Code_V3.33.897.0_20260306\aoutarm9045.cpp","160","(Prod.iOutArmX120Pitch-Prod.iOutArmX40Pitch)/iPitch_Max_minus_Min","ChangeToFloatNonPcnt((double)((Prod.iOutArmX120Pitch-Prod.iOutArmX40Pitch)), (double)(iPitch_Max_minus_Min))","(Prod.iOutArmX120Pitch-Prod.iOutArmX40Pitch)","iPitch_Max_minus_Min","m=(double)(Prod.iOutArmX120Pitch-Prod.iOutArmX40Pitch)/iPitch_Max_minus_Min;//Isaac 20171204 (Steven) : Xpitch40->50mm, 新增150mm的Teaching點位，內差法公式計算"
"aoutarm9045.cpp","D:\HT9045\HT9011UC_Code_V3.33.897.0_20260306\aoutarm9045.cpp","168","(Prod.iOutArmX120Pitch2-Prod.iOutArmX40Pitch2)/iPitch_Max_minus_Min","ChangeToFloatNonPcnt((double)((Prod.iOutArmX120Pitch2-Prod.iOutArmX40Pitch2)), (double)(iPitch_Max_minus_Min))","(Prod.iOutArmX120Pitch2-Prod.iOutArmX40Pitch2)","iPitch_Max_minus_Min","m=(double)(Prod.iOutArmX120Pitch2-Prod.iOutArmX40Pitch2)/iPitch_Max_minus_Min;      //Isaac 20171204 (Steven) : Xpitch40->50mm     //Isaac 20171204 (Steven) : Xpitch40->50mm, 新增150mm的Teaching點位，內差法公式計算   //Steven 20200327 : 修正out arm x-pitch的點位錯誤"
"aoutarm9045.cpp","D:\HT9045\HT9011UC_Code_V3.33.897.0_20260306\aoutarm9045.cpp","190","((double)(dX120[iX]-dX_40[iX]))/iPitch_Max_minus_Min","ChangeToFloatNonPcnt((double)(((double)(dX120[iX]-dX_40[iX]))), (double)(iPitch_Max_minus_Min))","((double)(dX120[iX]-dX_40[iX]))","iPitch_Max_minus_Min","m=((double)(dX120[iX]-dX_40[iX]))/iPitch_Max_minus_Min;"
"aoutarm9045.cpp","D:\HT9045\HT9011UC_Code_V3.33.897.0_20260306\aoutarm9045.cpp","2496","AutoCalculateOutArmYClosePitch(iToWhichAuto)/AutoForm[iWhichAuto]->YPitch","ChangeToFloatNonPcnt((double)(AutoCalculateOutArmYClosePitch(iToWhichAuto)), (double)(AutoForm[iWhichAuto]->YPitch))","AutoCalculateOutArmYClosePitch(iToWhichAuto)","AutoForm[iWhichAuto]->YPitch","iOutArmYStep=AutoCalculateOutArmYClosePitch(iToWhichAuto)/AutoForm[iWhichAuto]->YPitch;     //ChungHung 20131231 alter AutoYPitch"
"aoutarm9045.cpp","D:\HT9045\HT9011UC_Code_V3.33.897.0_20260306\aoutarm9045.cpp","3586","((double)(Prod.iOutArmX120Pitch-Prod.iOutArmX40Pitch))/iPitch_Max_minus_Min","ChangeToFloatNonPcnt((double)(((double)(Prod.iOutArmX120Pitch-Prod.iOutArmX40Pitch))), (double)(iPitch_Max_minus_Min))","((double)(Prod.iOutArmX120Pitch-Prod.iOutArmX40Pitch))","iPitch_Max_minus_Min","m=((double)(Prod.iOutArmX120Pitch-Prod.iOutArmX40Pitch))/iPitch_Max_minus_Min;"
"aoutarm9045.cpp","D:\HT9045\HT9011UC_Code_V3.33.897.0_20260306\aoutarm9045.cpp","3587","(iMotPulse-Prod.iOutArmX40Pitch)/m","ChangeToFloatNonPcnt((double)((iMotPulse-Prod.iOutArmX40Pitch)), (double)(m))","(iMotPulse-Prod.iOutArmX40Pitch)","m","r=(double)(iMotPulse-Prod.iOutArmX40Pitch)/m;"
"aoutarm9045.cpp","D:\HT9045\HT9011UC_Code_V3.33.897.0_20260306\aoutarm9045.cpp","3598","(iMotPulse-Prod.iOutArmY15Pitch)/m","ChangeToFloatNonPcnt((double)((iMotPulse-Prod.iOutArmY15Pitch)), (double)(m))","(iMotPulse-Prod.iOutArmY15Pitch)","m","r=(double)(iMotPulse-Prod.iOutArmY15Pitch)/m;"
"atester.cpp","D:\HT9045\HT9011UC_Code_V3.33.897.0_20260306\atester.cpp","5934","100/CCDTimeOutSec","ChangeToFloatNonPcnt((double)(100), (double)(CCDTimeOutSec))","100","CCDTimeOutSec","if(iCCDTimeOutCount>(100/CCDTimeOutSec))"
"aTester_Front.cpp","D:\HT9045\HT9011UC_Code_V3.33.897.0_20260306\aTester_Front.cpp","287","MOT[MTestY1].Gali_ReadEncoderPos()/MOT[MTestY1].Motor->GearRatio","ChangeToFloatNonPcnt((double)(MOT[MTestY1].Gali_ReadEncoderPos()), (double)(MOT[MTestY1].Motor->GearRatio))","MOT[MTestY1].Gali_ReadEncoderPos()","MOT[MTestY1].Motor->GearRatio","int Pos1=MOT[MTestY1].Gali_ReadEncoderPos()/MOT[MTestY1].Motor->GearRatio;  //Steven 20100728 Start: 要加上齒輪比"
"aTester_Front.cpp","D:\HT9045\HT9011UC_Code_V3.33.897.0_20260306\aTester_Front.cpp","288","MOT[MTestZ1].Gali_ReadEncoderPos()/MOT[MTestZ1].Motor->GearRatio","ChangeToFloatNonPcnt((double)(MOT[MTestZ1].Gali_ReadEncoderPos()), (double)(MOT[MTestZ1].Motor->GearRatio))","MOT[MTestZ1].Gali_ReadEncoderPos()","MOT[MTestZ1].Motor->GearRatio","int Pos2=MOT[MTestZ1].Gali_ReadEncoderPos()/MOT[MTestZ1].Motor->GearRatio;"
